target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free
58	XM_003214487.3	18.1252495253039	2.06840412607883e-05	0.000811684973238997	0.782541754963515	0.254901823112583	0.00594542854192158	5.28184967495759	0.260847251654505	0.254901823112583	0.0251323046055101	0.254901823112583	1
59	XM_008123580.2	18.1126383269229	2.08214840961308e-05	0.000811684973238997	33.31302499431	10.8504438530349	0.253897811735121	2.19358335399675	11.10434166477	10.8504438530349	1.14021718529683	10.8504438530349	1
60	XM_003215145.3	18.0221638931795	2.18347962782453e-05	0.000837000523999402	1.45676719814952	0.474232208512113	0.0113568575377269	4.83101403800592	0.48558906604984	0.474232208512113	0.0262161932275537	0.474232208512113	1
61	XM_008124001.2	17.9376992922672	2.28254785892317e-05	0.000846751625084402	14.9814602460638	4.87453316956413	0.119286912457145	1.24214738655793	4.99382008202128	4.87453316956413	2.39089674881563	4.87453316956413	1
62	XM_008124007.2	17.9376992922672	2.28254785892317e-05	0.000846751625084402	14.9814602460638	4.87453316956413	0.119286912457145	1.24214738655793	4.99382008202128	4.87453316956413	2.39089674881563	4.87453316956413	1
63	XM_008115300.2	17.7593945553777	2.50676565545613e-05	0.000915168413896682	7.68189780335563	2.49667879918509	0.0639538019334549	0.692664657619722	2.56063260111854	2.49667879918509	2.07128750481895	2.49667879918509	1
64	XM_008109701.2	17.6380936095819	2.67182659149627e-05	0.00091719420305096	26.5684369247026	8.62814612300543	0.227999518562121	1.88408180250998	8.85614564156755	8.62814612300543	1.63898687223517	8.62814612300543	1
65	XM_016995138.1	17.6833039241638	2.60906672290797e-05	0.00091719420305096	0.146361187498212	0.0264282822914687	0.0223587802079355	1.79018041864342	0.0487870624994042	0.0264282822914687	1.8001479730444	1.8001479730444	1
66	XM_016996495.1	17.6434540451229	2.66430679463123e-05	0.00091719420305096	35.8417451832147	11.640081030088	0.30716736431694	2.30025160607101	11.9472483944049	11.640081030088	0.945653138545804	11.640081030088	1
67	XM_016997426.1	17.6533051434189	2.65054275681834e-05	0.00091719420305096	0.268046621916083	0.0870573379304256	0.00229153604160205	6.18804356147506	0.0893488739720278	0.0870573379304256	0.0273685404575162	0.0870573379304256	1
68	XM_016991547.1	17.5647538664478	2.77687809746714e-05	0.000939238180025649	7.62223792611401	2.47412466237097	0.0666213130003633	0.687272857518502	2.54074597537134	2.47412466237097	2.06357970669868	2.47412466237097	1
69	XM_008102710.2	17.4623247283461	2.93058141186394e-05	0.000976860470621314	0.375263809571074	0.121722910152171	0.00336502637152077	5.99087173356392	0.125087936523691	0.121722910152171	0.0261435509657706	0.121722910152171	1
70	XM_003214791.3	17.4084019550833	3.01490334076211e-05	0.000990611097678978	0.497003054463012	0.161150525197489	0.00451715962351463	5.725499389531	0.165667684821004	0.161150525197489	0.0251785651823955	0.161150525197489	1
71	XM_003215256.3	17.2205356583341	3.32819217470025e-05	0.00107696055999461	0.103795254807275	0.033597739323551	0.00100067894554081	6.83047021840623	0.0345984182690918	0.033597739323551	0.035191068357174	0.035191068357174	1
72	XM_016993366.1	17.1960564346861	3.37135479650485e-05	0.00107696055999461	25.4823047521639	8.24987091061794	0.244230673436687	1.83085285669064	8.49410158405462	8.24987091061794	1.73049975008494	8.24987091061794	1
73	XM_003214756.3	17.1167128463502	3.51516162765918e-05	0.0010973828988803	0.117522391537571	0.0380131572253261	0.00116097328719751	7.04693995509566	0.0391741305125235	0.0380131572253261	0.0395868064007322	0.0395868064007322	1
74	XM_008111947.2	17.1083303408281	3.53071019639749e-05	0.0010973828988803	0.089855180214278	0.0017897457755277	0.028161980962565	1.68268288199364	0.0299517267380927	0.0017897457755277	1.977755227852	1.977755227852	1
75	XM_003214857.3	17.0291132618007	3.68110559603722e-05	0.00109955102219294	1.48459804920181	0.480030727370468	0.0148352890301349	4.43492674366882	0.494866016400603	0.480030727370468	0.0305726292903048	0.480030727370468	1
76	XM_008122151.2	17.0636481622443	3.61476433435397e-05	0.00109955102219294	1.85234644466923	0.59909781370225	0.0183510011874945	6.21219146674702	0.617448814889745	0.59909781370225	0.027551063486698	0.59909781370225	1
77	XM_016996145.1	17.0466518029702	3.647262654147e-05	0.00109955102219294	2.04527538248833	0.661409853342981	0.0203486074864641	4.18011014315562	0.681758460829444	0.661409853342981	0.0339006294508501	0.661409853342981	1
78	XM_003214891.3	16.9554924645704	3.82664494828917e-05	0.00112554229672707	23.2393787275904	7.50991939938498	0.236540176478506	1.71785309695664	7.74645957586348	7.50991939938498	1.92119423647009	7.50991939938498	1
79	XM_008120629.1	16.936071400864	3.86599310614951e-05	0.00112554229672707	0.288348794407954	0.0931670448865397	0.00294921991611154	5.76562064655287	0.0961162648026513	0.0931670448865397	0.0252773445804853	0.0931670448865397	1
80	XM_008106266.2	16.8923731424504	3.95602185799138e-05	0.00112650173268426	2.21301168343307	0.714787337612656	0.022883223531701	4.14920639308017	0.737670561144357	0.714787337612656	0.0343451504018294	0.714787337612656	1
81	XM_016992047.1	16.8869957419127	3.96724523249674e-05	0.00112650173268426	0.0749257616037196	0.0240890388543558	0.000886215013550747	6.81385540977155	0.0249752538679066	0.0240890388543558	0.0348973232005347	0.0348973232005347	1
82	XM_008111858.2	16.8125753612751	4.12589835139637e-05	0.00115726417173313	22.9837739235609	7.41880988215314	0.242448092367144	2.75181692650817	7.66125797452029	7.41880988215314	0.279882873607543	7.41880988215314	1
